Quantity,Name,Price,Link,Note
1, Max9814 Microphone AGC Amplifier Auto Gain Control Amplifier 40dB/50dB/60dB,$2.41,https://www.aliexpress.com/item/1005005495251083.html,-
1,Micro SD Card Module SPI 3.3V TF Reader,$0.99,https://www.aliexpress.com/item/1005010519562186.html,-
5,Momentary Push Button Switch 16mm Momentary Round Switches,$0.99,https://www.aliexpress.com/item/4001081730289.html,The listing is selling 6 but you only need 5
1,Type-C Arduino Nano 16Mhz ATMEGA328P,$1.91,https://www.aliexpress.com/item/1005006128051481.html,-
1,LCD i2c 20 x 4,$6.92 ,https://www.aliexpress.com/item/1005010002946056.html,-
1,2030 2W 8 ohm Speaker,$0.99,https://www.aliexpress.com/item/1005006144805292.html,-
1,LM386 DIP,$0.63,https://www.aliexpress.com/item/1005004605510985.html,The listing is selling 10 but you only need 1
1,10k ohm potentiometer,$8.49,https://www.aliexpress.com/item/1005010513331536.html,The listing is selling 10 but you only need 1
1,10ohm resistance,$0.56,https://www.aliexpress.com/item/1005002489867848.html,The listing is selling 100 but you only need 1
2,10 µF capacitor,$0.99 x2,https://www.aliexpress.com/item/1005005558643765.html,The listing is selling 10 but you only need 2
1,0.1 µF (or 0.05 µF) capacitor,$0.95,https://www.aliexpress.com/item/1005002290441861.html,The listing is selling 100 but you only need 1
1,250 µF capacitor,$0.99,https://www.aliexpress.com/item/1005005558643765.html,"The listing is selling 50 but you only need 1. Also there is no 250uF in this one, only 220uF"
5,10k ohm resistance,$0.56,https://www.aliexpress.com/item/1005002489867848.html,"The listing is selling 100 but you only need 5. Also there is no 10k ohm in this one, only 9.1k ohm"
1,JST PH 2.0 Plug,$6.86,https://www.aliexpress.com/item/1005004955655144.html,The listing is selling 100 but you only need 1
